"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 08 13:48:27 UTC 2023","Sat Apr 08 13:48:32 UTC 2023","5309","Surefire suite","Surefire test","pagetest.OZPageWomanProductsTest","pagetest.OZPageWomanProductsTest","searchShampooProductTest","searchShampooProductTest","Selecting shampoo from the list of products"
"passed","Sat Apr 08 13:48:38 UTC 2023","Sat Apr 08 13:48:43 UTC 2023","4708","Surefire suite","Surefire test","pagetest.OZStoreCityTest","pagetest.OZStoreCityTest","searchCityStore","searchCityStore","Search for stores by city"
"passed","Sat Apr 08 13:48:02 UTC 2023","Sat Apr 08 13:48:10 UTC 2023","7804","Surefire suite","Surefire test","pagetest.OZPageBeveragesTest","pagetest.OZPageBeveragesTest","itemsCoffee","itemsCoffee","Searching for coffee using filters"
"passed","Sat Apr 08 13:48:16 UTC 2023","Sat Apr 08 13:48:21 UTC 2023","4884","Surefire suite","Surefire test","pagetest.OZPageKidsAndMomTest","pagetest.OZPageKidsAndMomTest","searchDiapersTest","searchDiapersTest","Ordering diapers in the online store OZ.BY"
"passed","Sat Apr 08 13:48:48 UTC 2023","Sat Apr 08 13:48:52 UTC 2023","4100","Surefire suite","Surefire test","pagetest.OZStoreSportProductTest","pagetest.OZStoreSportProductTest","itemsSport","itemsSport","Choosing balls in the OZ.BY store"
